index,Order ID,Date,Status
0,405-8078784-5731545,04-30-22,Cancelled
1,171-9198151-1101146,04-30-22,Shipped
2,404-0687676-7273146,04-30-22,Shipped
3,403-9615377-8133951,04-30-22,Cancelled
4,407-1069790-7240320,04-30-22,Shipped
5,404-1490984-4578765,04-30-22,Shipped
6,408-5748499-6859555,04-30-22,Shipped
7,406-7807733-3785945,04-30-22,Shipped
8,407-5443024-5233168,04-30-22,Cancelled
9,402-4393761-0311520,04-30-22,Shipped
10,407-5633625-6970741,04-30-22,Shipped
11,171-4638481-6326716,04-30-22,Shipped
12,405-5513694-8146768,04-30-22,Shipped
13,408-7955685-3083534,04-30-22,Shipped
14,408-1298370-1920302,04-30-22,Shipped
15,403-4965581-9520319,04-30-22,Shipped
16,406-9379318-6555504,04-30-22,Shipped
17,405-9013803-8009918,04-30-22,Shipped
18,402-4030358-5835511,04-30-22,Shipped
19,405-5957858-1051546,04-30-22,Shipped
20,405-0607769-0716360,04-30-22,Shipped
21,404-8494550-5860325,04-30-22,Shipped
22,171-1305077-2813934,04-30-22,Shipped
23,404-6019946-2909948,04-30-22,Cancelled
24,402-3384087-4005164,04-30-22,Shipped
25,405-8191138-5176316,04-30-22,Shipped
26,403-9230474-9657916,04-30-22,Shipped
27,408-3484251-6901959,04-30-22,Shipped
28,405-7755803-4729935,04-30-22,Shipped
29,404-5933402-8801952,04-30-22,Cancelled
30,171-9040274-9291563,04-30-22,Shipped
31,403-7056319-0979561,04-30-22,Shipped
32,404-9632124-1107550,04-30-22,Shipped
33,402-1465437-0579556,04-30-22,Shipped
34,404-7774085-3780319,04-30-22,Shipped
35,402-2764952-1492318,04-30-22,Shipped
36,406-0272200-7784379,04-30-22,Shipped
37,403-4367956-2849158,04-30-22,Shipped
38,403-4367956-2849158,04-30-22,Shipped
39,403-4242957-8599555,04-30-22,Shipped
40,408-7165704-5643524,04-30-22,Shipped
41,402-8210765-3935569,04-30-22,Shipped
42,406-7398201-3869914,04-30-22,Shipped
43,408-3478480-0881162,04-30-22,Shipped
44,402-7595162-9129931,04-30-22,Shipped
45,171-6876154-6233146,04-30-22,Shipped
46,408-3917043-5314763,04-30-22,Shipped
47,408-9281152-6213100,04-30-22,Shipped
48,403-3496411-3082707,04-30-22,Shipped
49,171-9208368-0157156,04-30-22,Shipped
50,408-2137113-0982751,04-30-22,Shipped
51,402-3628566-9688333,04-30-22,Shipped
52,408-7138000-9728362,04-30-22,Shipped
53,402-1752649-2274748,04-30-22,Shipped
54,402-7944191-1869101,04-30-22,Shipped
55,407-4063876-9566742,04-30-22,Shipped
56,403-0752752-4656334,04-30-22,Shipped
57,406-8879861-2081117,04-30-22,Shipped
58,406-8089333-7941903,04-30-22,Shipped
59,171-3072652-6805159,04-30-22,Shipped
60,171-2592464-6846743,04-30-22,Shipped
61,404-2262140-4696366,04-30-22,Shipped
62,404-2262140-4696366,04-30-22,Shipped
63,405-3594372-1614709,04-30-22,Shipped
64,407-2974257-4781134,04-30-22,Shipped
65,171-4137548-0481151,04-30-22,Cancelled
66,405-4461562-9113959,04-30-22,Shipped
67,404-4535078-5241919,04-30-22,Shipped
68,405-8387725-2971512,04-30-22,Shipped
69,405-6480932-8759528,04-30-22,Shipped
70,405-9966506-3155561,04-30-22,Shipped
71,408-7029737-8028367,04-30-22,Shipped
72,407-2189901-7515567,04-30-22,Shipped
73,402-2105657-2899562,04-30-22,Shipped
74,406-1326801-8886709,04-30-22,Shipped
75,408-7760667-5809130,04-30-22,Shipped
76,405-8457623-9269955,04-30-22,Shipped
77,408-6820155-3521913,04-30-22,Shipped
78,403-6190683-2687538,04-30-22,Shipped
79,408-4069830-3819562,04-30-22,Shipped
80,408-4069830-3819562,04-30-22,Shipped
81,408-4069830-3819562,04-30-22,Shipped
82,171-7367545-7081126,04-30-22,Shipped
83,404-6522553-9345930,04-30-22,Cancelled
84,403-9950518-0349133,04-30-22,Cancelled
85,407-6599093-6553153,04-30-22,Shipped
86,403-3763475-2237125,04-30-22,Shipped
87,405-1492294-0323520,04-30-22,Shipped
88,403-1162895-2484367,04-30-22,Shipped
89,171-6833843-5473114,04-30-22,Shipped
90,403-1477057-8253913,04-30-22,Shipped
91,408-2114413-6089906,04-30-22,Shipped
92,405-1879750-2639521,04-30-22,Shipped
93,406-5727754-5302723,04-30-22,Shipped
94,405-0901744-8270705,04-30-22,Shipped
95,405-9112089-3379536,04-30-22,Cancelled
96,408-6357132-2310703,04-30-22,Shipped
97,406-5334922-9670748,04-30-22,Shipped
98,402-8519791-3706738,04-30-22,Shipped
99,408-1830318-0357940,04-30-22,Shipped
100,406-5103760-7326749,04-30-22,Shipped
101,402-7841951-1872363,04-30-22,Cancelled
102,408-7698765-2294756,04-30-22,Shipped
103,404-1856281-9996319,04-30-22,Shipped
104,406-5406738-7113145,04-30-22,Shipped
105,405-5257740-5301158,04-30-22,Shipped
106,405-5257740-5301158,04-30-22,Shipped
107,405-2072502-4089911,04-30-22,Shipped
108,405-0882561-5952340,04-30-22,Shipped
109,403-7266170-1163500,04-30-22,Shipped
110,405-8114272-1687512,04-30-22,Shipped
111,171-6138639-1478731,04-30-22,Shipped
112,405-4059216-4541150,04-30-22,Shipped
113,405-1152015-7333945,04-30-22,Shipped
114,406-0177436-6731556,04-30-22,Shipped
115,406-0715107-8168308,04-30-22,Shipped
116,403-0104882-7373900,04-30-22,Cancelled
117,403-0104882-7373900,04-30-22,Cancelled
118,403-0104882-7373900,04-30-22,Cancelled
119,405-3002282-6797102,04-30-22,Shipped
120,407-8466904-3461908,04-30-22,Shipped
121,171-3305587-5364338,04-30-22,Shipped
122,406-8961316-8137943,04-30-22,Shipped
123,406-8961316-8137943,04-30-22,Shipped
124,171-2813040-8296320,04-30-22,Shipped
125,408-9845791-1393151,04-30-22,Shipped
126,402-4277204-2348328,04-30-22,Shipped
127,171-3049339-2085136,04-30-22,Shipped
128,405-9928526-2470747,04-30-22,Shipped
129,405-4908072-0260360,04-30-22,Shipped
130,406-3984186-5973150,04-30-22,Shipped
131,171-8635309-7508346,04-30-22,Shipped
132,171-0293372-4913973,04-30-22,Cancelled
133,402-8288606-4313118,04-30-22,Shipped
134,402-8746990-6412346,04-30-22,Shipped
135,402-0294212-5431551,04-30-22,Shipped
136,406-1530134-2105912,04-30-22,Shipped
137,403-5222550-4437140,04-30-22,Shipped
138,408-1482435-5202714,04-30-22,Shipped
139,403-6442534-2769112,04-30-22,Cancelled
140,408-3113070-0750756,04-30-22,Shipped
141,404-7796841-1880317,04-30-22,Shipped
142,405-2142542-0941949,04-30-22,Shipped
143,405-0286717-7761132,04-30-22,Shipped
144,406-9021273-9221106,04-30-22,Shipped
145,404-5381335-4577925,04-30-22,Shipped
146,171-0131752-2560336,04-30-22,Shipped
147,407-4235449-1353916,04-30-22,Shipped
148,171-8061614-5688327,04-30-22,Shipped
149,407-8248783-4261958,04-30-22,Shipped
150,404-6513062-3876305,04-30-22,Shipped
151,406-7779874-9136347,04-30-22,Shipped
152,406-9638549-1733961,04-30-22,Shipped
153,407-8801185-0134713,04-30-22,Shipped
154,171-3625443-6505905,04-30-22,Shipped
155,402-8078642-8565124,04-30-22,Cancelled
156,402-2820441-9623566,04-30-22,Shipped
157,171-4312987-5366767,04-30-22,Shipped
158,403-5189998-9343503,04-30-22,Shipped
159,407-9863928-5979501,04-30-22,Shipped
160,171-4644162-9093116,04-30-22,Shipped
161,406-0974406-3179521,04-30-22,Shipped
162,402-0048138-1845122,04-30-22,Shipped
163,407-6283946-7749133,04-30-22,Shipped
164,407-0542879-1795554,04-30-22,Shipped
165,406-0218328-1773963,04-30-22,Cancelled
166,407-3742007-3242711,04-30-22,Shipped
